Brand Name,Item Name,Calories needed to have 50g of added sugar
Pepsi,"Pepsi, Cola",192
Pepsi,Caffeine Free Soda,181
Pepsi,Caffeine Free,183
Pepsi,Mango Cola,183
Pepsi,Pepsi with a Splash of Pineapple Juice with Other Natural Flavors,188
Pepsi,Carbonated Beverage,188
Pepsi,Soft Drink,183
Pepsi,Mountain Dew,190
Pepsi,Cola Soda Drink,183
Pepsi,Berry Soda,183
Pibb Xtra,"Soda, Spicy Cherry",184
Pibb Xtra,Cherry Soda,179
Pibb Xtra,Spicy Cherry Soda,180
Pibb Xtra,Artificially Flavored Spicy Cherry Soda,184
Pibb Xtra,"Soda, Spicy Cherry, Fridge Pack",184
Polar,Mandarin Oranges,300
Polar,Mixed Fruit in Light Syrup,265
Polar,Peaches in Light Syrup,237
Polar,Raspberry Lime Soda,182
Polar,"Sparkling Beverage, Orange Dry",200
Polar,Fruit Cocktail,167
Polar,Root Beer Soda,188
Polar,Cream Soda,182
Polar,Grape Soda,185
Polar,Birch Beer Soda,188
Power Edge,"Sports Drink, Grape",200
Power Edge,Fruit Punch Sports Drink,200
Power Edge,"Sports Drink, Mountain Berry Blast",200
Power Edge,Sour Blue Razz Flavored Sports Drink,190
Power Edge,Mountain Berry Blast Sports Drink,191
Power Edge,"Fruit Punch,Mountain Berry Blast, Grape Sports Drink",200
Power Edge,"Sports Drink, Melon Flavored",190
Power Edge,Fruit Punch Flavored Sports Drink,190
Power Edge,Lemon Lime Flavored Sports Drink,190
Power Edge,Orange Sports Drink,190
Powerade,Fruit Punch Sports Drink,191
Powerade,"Sports Drink, Mountain Berry Blast",190
Powerade,"Sports Drink, Fruit Punch",190
Powerade,"Sports Drink, Grape",190
Powerade,"Sports Drink, Orange",190
Powerade,Xtra Sour Cherry Kicker Sports Drink,200
Powerade,Grape Flavor Sports Drink,200
Powerade,"Sports Drink + B Vitamins, Orange",191
Powerade,"Sports Drink, Lemon Lime",190
Powerade,"Sports Drink, Strawberry Lemonade",190
Powerade,Xtra Sour Peach Pucker Sports Drink,200
Powerade,Xtra Sour Grape Shocker Sports Drink,200
Powerade,Island Burst Tropical Punch Flavored Sports Drink,190
Powerade,Mountain Berry Blast Sports Drink,190
Powerade,Cherry Kicker,206
Q Mixers,Spicy Grapefruit Margarita Mix,222
Q Mixers,Tropical Ginger Beer,225
Q Mixers,Elderflower Tonic Water Contains Quinine,211
Q Mixers,Spicy Hibiscus Ginger Beer,225
Q Mixers,Spicy Mango Margarita Mix,237
Ramune,Strawberry Flavor Carbonated Soft Drink,235
Ramune,Melon Flavor Carbonated Soft Drink,217
Ramune,"Soft Drink, Original Flavor, Carbonated",222
Ramune,"Soft Drink, Peach Flavor",196
Ramune,Blueberry Flavor Carbonated Soft Drink,206
Ramune,"Carbonated Soft Drink, Grape",208
Ramune,Honey Bee Ramune Original Carbonated Drink,200
Ramune,Carbonated Soft Drink Strawberry,275
Ramune,Blue Hawaii Carbonated Soft Drink,275
Ramune,Carbonated Soft Drink,206
RC COLA,Cola,190
Reading Draft,Birch Beer Premium Reserve Soda,202
Reading Draft,Citrus Twist Premium Reserve Soda,194
Reading Draft,Orange Cream Reserve Soda,202
Red Bull,Strawberry Apricot Energy Drink,211
Red Bull,"Energy Drink, Juneberry",211
Red Bull,"Energy Drink, Coconut Berry",211
Red Bull,Tropical Energy Drink,211
Red Bull,Curuba Elderflower The Summer Edition Energy Drink,211
Red Bull,"Energy Drink, Wild Berries",211
Red Bull,"Energy Drink, Watermelon",212
Red Bull,Blueberry Energy Drink,211
Red Bull,"The Yellow Edition Energy Drink, Tropical",214
Red Bull,White Peach Energy Drink,212
Red Bull,Fuji Apple & Ginger Energy Drink,212
Red Bull,The Yellow Edition Tropical Energy Drink,204
Red Bull,"Energy Drink, The Peach Edition",212
Rise Brewing Co.,"Coffee, Dairy Free, Organic, Cold Brew, Oat Milk Mocha",556
Rise Brewing Co.,"Coffee, Dairy Free, Organic, Cold Brew, Oat Milk Vanilla",594
Rockstar,Fruit Punch with Natural Flavor,205
Rockstar,Energy Drink,206
Rockstar,Whipped Strawberry Energy Drink,212
Rockstar,Pineapple Energy Drink,197
Rockstar,Pina Colada Boom Non Alcoholic Energy Drink,199
Rockstar,Hardcore Apple Energy Drink,205
Rockstar,Berry Sangria,205
Rockstar,Strawberry Peach Energy Drink,197
Rockstar,Whipped Orange Energy Drink,214
Rockstar,Watermelon Energy Drink,197
Rockstar,"Energy Drink, Strawberry, Aguas Frescas",217
Rockstar,"Energy Drink, Peach Berry Freeze",197
Rockstar,"Energy Drink, Pineapple, Aguas Frescas",227
Rockstar,"Energy Drink, Blackberry Goji",205
San Pellegrino,"Sparkling Beverage, Orange and Pomegranate",261
San Pellegrino,Orange Juice,271
San Pellegrino,Sparkling Blood Orange Beverage,304
San Pellegrino,Sparkling Lemon Beverage,300
Sanpellegrino,Aranciata Sparkling Orange & Blood Orange Beverage,271
Sanpellegrino,Limonata Italian Sparkling Drinks,220
Sanpellegrino,Aranciata Sparkling Orange Beverage,273
Sanpellegrino,"Sparkling Beverage, Grapefruit",250
Sanpellegrino,Lemonade Sparkling Water Beverage,240
Sanpellegrino,Blood Orange Italian Sparkling Drinks,271
Sanpellegrino,"Sparkling Drinks, Italian, Melograno & Arancia",261
Sanpellegrino,Ginger Beer,222
