Pesticide Type,EPA Reg. #,EPA Prod Name,Volume in Gallons,Weight in Pounds,Total Applications,Active Ingredient Data,tox_cd,EPA Carcinogen,Prop65 Developmental Toxin,IARC Carcinogen
RODENTICIDE,DOE,7173-313,IGI CARBON DIOXIDE,10152.13,0,50,Carbon dioxide,2,NO,NO,NO
Rodenticide,DOE,12455-75,CONTRAC RAT AND MOUSE BAIT READY TO USE PLACE PAC,0,9.88,50,Bromadiolone,3,NO,NO,NO
Rodenticide,DOE,12455-148,Rat Ice,0,415,8,Carbon dioxide,2,NO,NO,NO
Rodenticide,DOE,7969-382,Selontra Rodent Bait,0,1.32,1,Cholecalciferol,3,NO,NO,NO
Insecticide,DOE,64405-2,REDZONE BAIT,0,9223.2,11597,Boric acid,3,NO,NO,NO
Insecticide,DOE,499-510,PRESCRIPTION TREATMENT BRAND ALPINE COCKROACH GEL BAIT PISTON CAN,0,80.7,7887,Dinotefuran,3,NO,NO,NO
Insecticide,DOE,100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,46.55,5746,Indoxacarb,3,NO,NO,NO
Insecticide,DOE,1021-2593,VENDETTA PLUS COCKROACH GEL BAIT,0,23.81,1183,Avermectin; Pyriproxyfen,3,NO,YES,NO
Insecticide,DOE,73079-6,GREEN ZONE GRANULAR BAIT,0,193.79,1029,Boric acid,3,NO,NO,NO
Insecticide,DOE,100-1498,DUPONT ADVION ANT GEL,0,5.14,575,Indoxacarb,3,NO,NO,NO
Insecticide,DOE,397-13,STERI-FAB,4.6,7.13,170,"Phenothrin; Isopropyl alcohol; Alkyl (60%C14, 25%C12, 15%C16) dimethylbenzyl ammonium chloride; Didecyl dimethyl ammonium chloride",2,NO,NO,NO
Insecticide,DOE,73079-14,IMIDACLOPRID GRANULAR BAIT,0,13.41,135,Imidacloprid,3,NO,NO,NO
Insecticide,DOE,101563-122,MAXFORCE FC ROACH KILLER BAIT GEL F.05,0,3.51,122,Fipronil,3,YES,NO,NO
INSECTICIDE,DOE,53883-424-82540,Strike Max Alacer Roach Gel Bait,0,0.07,111,Indoxacarb,3,NO,NO,NO
Insecticide,DOE,89459-84,RF2228 LH AEROSOL,10.98,0,76,"Cyhalothrin, lambda; (7S)-Hydroprene",3,NO,NO,NO
Insecticide,DOE,1021-2796,MGK Formula 3113,0,0.86,58,Clothianidin; Pyriproxyfen,0,NO,NO,NO
Insecticide,DOE,64405-8,NIBOR BORATE INSECTICIDE AND FUNGICIDE,0,57.09,56,Disodium octaborate tetrahydrate,3,NO,NO,NO
Insecticide,DOE,499-473,WHITMIRE MICRO-GEN TC 205 INJECTION SYSTEM,10.56,0,53,"Cyhalothrin, lambda",3,NO,NO,NO
Insecticide,DOE,101563-140,MAXFORCE QUANTUM ANT BAIT,0,0.6,48,Imidacloprid,3,NO,NO,NO
Insecticide,DOE,101563-119,BES 0026 FLY SPOT BAIT,45.5,0,45,Imidacloprid; (Z)-9-Tricosene,3,NO,NO,NO
Insecticide,DOE,73766-1,GOURMET ANT BAIT GEL,0,0.46,39,Disodium octaborate tetrahydrate,3,NO,NO,NO
Insecticide,DOE,499-550,TC-323,10.17,4.06,38,Prallethrin,3,NO,NO,NO
Insecticide,DOE,499-410,AVERT PRESCRIPTION TREATMENT TC 93B BAIT,0,0.14,29,Avermectin,3,NO,YES,NO
INSECTICIDE,DOE,2724-786-89459,Zenprox Wasp-X2 Spray,7.57,0,27,Tetramethrin; Piperonyl butoxide; Ethofenprox,3,YES,NO,NO
Insecticide,DOE,2724-484,RF 9707 AEROSOL,0.8,5.94,27,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,DOE,100-1486,DUPONT ADVION COCKROACH BAIT ARENA,0,16.38,26,Indoxacarb,3,NO,NO,NO
Insecticide,DOE,432-1531,BES0600 INSECTICIDE,0,0.43,24,Clothianidin,0,NO,NO,NO
Insecticide,DOE,499-507,PRESCRIPTION TREATMENT BRAND ALPINE COCKROACH GEL BAIT RESERVOIR,0,0.32,23,Dinotefuran,3,NO,NO,NO
Insecticide,DOE,101563-4,SUSPEND SC INSECTICIDE,0,0.02,16,Deltamethrin,3,NO,NO,NO
