Pesticide Type	EPA Reg. #	EPA Prod Name	Volume in Gallons	Weight in Pounds	Total Applications	Active Ingredient Data	tox_cd	EPA Carcinogen	Prop65 Developmental Toxin	IARC Carcinogen
Insecticide,1021-1828,MGK ROACH BAIT 2822,0,0.06,2,Avermectin,3,NO,YES,NO
INSECTICIDE,101563-143,SUSPEND POLYZONE,0,0.05,2,Deltamethrin,3,NO,NO,NO
INSECTICIDE,81880-29-10163,Sanmite SC Miticide Insecticide,0,0,2,Pyridaben,3,NO,NO,NO
INSECTICIDE,5481-643-432,Dylox 420 SL,32,0,1,Trichlorfon,3,YES,NO,NO
Insecticide,70506-150,IMIGOLD 2F TURF & ORNAMENTAL INSECTICIDE,3.19,0,1,Imidacloprid,3,NO,NO,NO
INSECTICIDE,64405-5,RTU WOOD PRESERVATIVE/PESTICIDE,1,0,1,Disodium octaborate tetrahydrate,3,NO,NO,NO
Insecticide,499-462,PRO-CONTROL FOGGER IV,0.61,0,1,Pyrethrins; Cyfluthrin; Piperonyl butoxide,3,YES,NO,NO
Insecticide,228-588,MALLET 75 WP,0.47,0,1,Imidacloprid,3,NO,NO,NO
INSECTICIDE,100-1078,SCIMITAR CS INSECTICIDE,0.25,0,1,"Cyhalothrin, lambda",3,NO,NO,NO
Insecticide,42750-115-74779,XYTECT 2F INSECTICIDE,0.17,0,1,Imidacloprid,3,NO,NO,NO
Insecticide,70051-9-59807,AZATIN O BIOLOGICAL INSECTICIDE,0.13,0,1,Azadirachtin,3,NO,NO,NO
Insecticide,9688-255-8845,SPECTRACIDE COMMERCIAL WASP & HORNET KILLER 3,0.13,0,1,Deltamethrin; S-Bioallethrin,3,YES,NO,NO
INSECTICIDE,2724-793,RF2067-EW,0.06,0,1,(S)-Kinoprene,3,NO,NO,NO
INSECTICIDE,239-2699,ORTHO HOME DEFENSE INDOOR AND OUTDOOR INSECT KILLER 2,0.01,0,1,Bifenthrin,3,YES,NO,NO
INSECTICIDE,101563-5,ESP005 Insecticide,0.01,0,1,"Cyfluthrin, beta; Flupyradifurone",0,NO,NO,NO
INSECTICIDE,961-427,TURF FERTILIZER WITH ACELEPRYN PLUS DIMENSION 167,0,5750,1,"Dithiopyr, DPX-E2Y45",3,NO,NO,NO
Insecticide,53883-513,QUALI-PRO IMIDACLOPRID 75 WSB,0,1,1,Imidacloprid,3,NO,NO,NO
INSECTICIDE,5481-13,ALCO FLY FIGHTER INSECT SPRAY PRESSURIZED,0,0.5,1,DDVP,3,YES,NO,YES
Insecticide,499-500,PRESCRIPTION TREATMENT BRAND ADVANCE COMPRESSED TERMITE BAIT II,0,0.19,1,Diflubenzuron,3,NO,NO,NO
INSECTICIDE,59639-170-74779,TRANSTECT 70WSP INSECTICIDE,0,0.11,1,Dinotefuran,3,NO,NO,NO
